species,hbond_class,count,total_oxygen_samples,fraction
OH-,DAAA,62698,1367400,0.04585198186
OH-,DAA,109600,1367400,0.0801521135
OH-,DA,165712,1367400,0.1211876554
OH-,AAA,76787,1367400,0.05615547755
OH-,AA,111989,1367400,0.08189922481
OH-,A,130105,1367400,0.09514772561
OH-,other,710509,1367400,0.5196058213
H2O,DDAA,605260,7731905,0.07828083765
H2O,DDA,1188627,7731905,0.1537301609
H2O,DAA,818874,7731905,0.1059084404
H2O,DA,1888690,7731905,0.2442722718
H2O,AA,249690,7731905,0.03229346455
H2O,A,721005,7731905,0.0932506284
H2O,other,2259759,7731905,0.2922641962
H3O+,DDDA,0,0,0
H3O+,DDD,0,0,0
H3O+,DDA,0,0,0
H3O+,DD,0,0,0
H3O+,DA,0,0,0
H3O+,D,0,0,0
H3O+,other,0,0,0
