# time_ps  C_avg  count
  0.00000000  2.556710864043e-02 35201644
  0.00500000 -1.116526043698e+00 35198838
  0.01000000  5.005190507867e-02 35196032
  0.01500000  4.673276151234e-01 35193356
  0.02000000  2.546267985609e-01 35190810
  0.02500000  6.038029848514e-01 35188322
  0.03000000 -6.099077086186e-01 35185860
  0.03500000  3.353254798223e-01 35183404
  0.04000000 -1.248287626075e-01 35180954
  0.04500000 -1.935223582238e-01 35178506
  0.05000000  1.068010827831e-01 35176066
  0.05500000 -2.123427248488e-01 35173630
  0.06000000  4.147014961925e-01 35171196
  0.06500000 -2.810215555582e-01 35168764
  0.07000000 -3.216479386112e-02 35166332
  0.07500000  3.061729070725e-01 35163906
  0.08000000 -6.251361047424e-02 35161480
  0.08500000  1.036142832588e-01 35159056
  0.09000000 -2.430691746175e-01 35156632
  0.09500000  1.252151827850e-01 35154210
  0.10000000  1.316113476910e-01 35151796
  0.10500000 -2.389623150142e-01 35149386
  0.11000000  1.554470497988e-01 35146978
  0.11500000  4.379753347317e-02 35144572
  0.12000000  8.644935992671e-02 35142174
  0.12500000 -6.553772556623e-02 35139778
  0.13000000 -1.564637851752e-01 35137386
  0.13500000  2.372104514354e-01 35134996
  0.14000000 -8.638940421343e-02 35132608
  0.14500000 -8.054219357127e-02 35130230
  0.15000000  2.887610671698e-02 35127858
  0.15500000  1.509441947678e-02 35125488
  0.16000000  1.045698004853e-01 35123122
  0.16500000 -1.905486646551e-01 35120760
  0.17000000  4.038971792725e-02 35118398
  0.17500000  1.046687822779e-01 35116040
  0.18000000 -1.007940600413e-01 35113682
  0.18500000 -1.504900310350e-02 35111324
  0.19000000 -5.217221696734e-02 35108968
  0.19500000  1.276046837206e-01 35106614
  0.20000000 -1.509399371945e-02 35104260
  0.20500000 -1.299848208884e-01 35101910
  0.21000000  9.240225016735e-02 35099564
  0.21500000 -2.679937707612e-04 35097220
  0.22000000 -1.163427957641e-02 35094878
  0.22500000 -7.186607827617e-02 35092536
  0.23000000  1.053776978749e-02 35090198
  0.23500000  1.198204890619e-01 35087862
  0.24000000 -8.191496250612e-02 35085530
  0.24500000 -1.705177365778e-02 35083200
  0.25000000  4.639531839612e-02 35080872
  0.25500000  4.313826286063e-02 35078546
  0.26000000  1.821839243206e-03 35076222
  0.26500000 -6.960345753089e-02 35073900
  0.27000000  7.599187612411e-02 35071580
  0.27500000  3.576555175667e-02 35069262
  0.28000000 -5.799927594093e-02 35066944
  0.28500000 -1.611698449600e-02 35064630
  0.29000000  2.389692723816e-02 35062316
  0.29500000  4.536606843934e-02 35060002
  0.30000000 -5.104389558886e-02 35057690
  0.30500000 -3.724957724225e-02 35055382
  0.31000000  5.408128627642e-02 35053076
  0.31500000  6.079452864620e-03 35050770
  0.32000000 -4.288318606974e-02 35048468
  0.32500000 -2.012875824140e-02 35046166
  0.33000000  3.544780775071e-02 35043864
  0.33500000  2.222273746737e-02 35041562
  0.34000000 -5.366353722135e-02 35039260
  0.34500000 -1.154389348173e-02 35036960
  0.35000000  4.976540896377e-02 35034660
  0.35500000  2.585717473666e-03 35032360
  0.36000000 -2.918203636696e-02 35030062
  0.36500000 -4.134408524991e-03 35027764
  0.37000000  4.136649826622e-02 35025466
  0.37500000  3.592176770291e-03 35023170
  0.38000000 -5.396858864712e-02 35020874
  0.38500000  4.765819674957e-03 35018578
  0.39000000  3.459752928086e-02 35016282
  0.39500000 -2.545515311282e-03 35013990
  0.40000000 -2.405492340905e-02 35011698
  0.40500000  3.903730432257e-03 35009408
  0.41000000  4.479632258961e-02 35007118
  0.41500000 -1.002523135503e-02 35004828
  0.42000000 -3.819450109785e-02 35002538
  0.42500000  1.036925288729e-02 35000248
  0.43000000  1.874071926557e-02 34997958
  0.43500000 -7.948239438434e-03 34995668
  0.44000000 -2.446045868003e-02 34993382
  0.44500000  1.531362680405e-02 34991098
  0.45000000  3.656297128953e-02 34988820
  0.45500000 -1.734809378832e-02 34986544
  0.46000000 -2.239135565099e-02 34984270
  0.46500000  1.679026738314e-02 34981996
  0.47000000  1.455112479351e-02 34979722
  0.47500000 -1.006930555151e-02 34977450
  0.48000000 -2.248214163104e-02 34975178
  0.48500000  2.634259277762e-02 34972906
  0.49000000  2.304791123470e-02 34970634
  0.49500000 -2.704456231228e-02 34968366
  0.50000000 -8.471475441630e-03 34966098
  0.50500000  7.899831306442e-03 34963832
  0.51000000  1.321600619115e-02 34961568
  0.51500000 -1.863905940282e-02 34959304
  0.52000000 -1.335863942090e-02 34957040
  0.52500000  3.087509086104e-02 34954778
  0.53000000  2.774029083088e-04 34952516
  0.53500000 -1.162916311445e-02 34950254
  0.54000000 -5.294531486420e-03 34947992
  0.54500000  1.487809635493e-02 34945730
  0.55000000  1.407791304451e-02 34943468
  0.55500000 -2.588571508821e-02 34941206
  0.56000000 -1.021759659675e-03 34938944
  0.56500000  1.099651571851e-02 34936684
  0.57000000 -8.510059097576e-03 34934426
  0.57500000 -8.778770498155e-03 34932172
  0.58000000 -1.167589484165e-03 34929918
  0.58500000  2.265451797360e-02 34927664
  0.59000000  2.158013081163e-03 34925410
  0.59500000 -1.137290920253e-02 34923158
  0.60000000  1.112841574965e-02 34920906
  0.60500000  1.520671712416e-03 34918654
  0.61000000 -1.170582096294e-03 34916402
  0.61500000 -1.204615369050e-02 34914150
  0.62000000  3.545398495049e-03 34911898
  0.62500000  1.338474784557e-02 34909646
  0.63000000 -1.154003763738e-02 34907396
  0.63500000 -5.187409999373e-03 34905148
  0.64000000 -1.622656502240e-03 34902900
  0.64500000  7.454784696573e-03 34900654
  0.65000000 -6.541219653146e-03 34898408
  0.65500000 -1.077201404639e-02 34896166
  0.66000000  4.673523976133e-03 34893926
  0.66500000 -1.933230435625e-04 34891688
  0.67000000 -5.244603773121e-03 34889450
  0.67500000 -6.553491267686e-03 34887212
  0.68000000  1.244040281568e-02 34884982
  0.68500000  5.139686466703e-03 34882754
  0.69000000  1.794086142431e-03 34880526
  0.69500000 -7.766501453244e-04 34878300
  0.70000000  1.849707637685e-03 34876074
  0.70500000  4.844524661678e-03 34873852
  0.71000000 -1.079056578070e-02 34871630
  0.71500000  8.257536605812e-03 34869410
  0.72000000  1.325445063105e-03 34867190
  0.72500000  3.597890558278e-03 34864970
  0.73000000  5.079457476120e-04 34862752
  0.73500000 -6.350795078977e-03 34860540
  0.74000000  1.447169486214e-02 34858328
  0.74500000 -5.478558956293e-03 34856116
  0.75000000  3.708068953962e-03 34853904
  0.75500000  1.674534734949e-03 34851692
  0.76000000 -1.350304530593e-03 34849480
  0.76500000  8.359899762563e-03 34847268
