# frequency_cm^-1 signal
0.000000000000000000e+00 -4.003385908420575845e-02
1.516889924762702568e+00 -4.073125067136938032e-02
3.033779849525405137e+00 -4.280356720608962523e-02
4.550669774288108371e+00 -4.619218662041441048e-02
6.067559699050810273e+00 -5.080252719815357698e-02
7.584449623813513064e+00 -5.650854540990996738e-02
9.101339548576216743e+00 -6.315867399275672256e-02
1.061822947333891776e+01 -7.058286566579394239e-02
1.213511939810162055e+01 -7.860034561717205159e-02
1.365200932286432511e+01 -8.702763635324137215e-02
1.516889924762702613e+01 -9.568640424963614777e-02
1.668578917238972892e+01 -1.044106894250159401e-01
1.820267909715243349e+01 -1.130531191438801097e-01
1.971956902191513450e+01 -1.214897681003006269e-01
2.123645894667783551e+01 -1.296234134008628913e-01
2.275334887144054008e+01 -1.373850332262444296e-01
2.427023879620324109e+01 -1.447335101879137220e-01
2.578712872096594566e+01 -1.516536165779671652e-01
2.730401864572865023e+01 -1.581524717502605371e-01
2.882090857049135124e+01 -1.642547643515294142e-01
3.033779849525405226e+01 -1.699971169576235952e-01
3.185468842001675682e+01 -1.754220315923650242e-01
3.337157834477945784e+01 -1.805718866271538992e-01
3.488846826954215885e+01 -1.854834553897851679e-01
3.640535819430486697e+01 -1.901833831950073272e-01
3.792224811906756798e+01 -1.946849934424173256e-01
3.943913804383026900e+01 -1.989866982292555209e-01
4.095602796859297001e+01 -2.030721701578477867e-01
4.247291789335567103e+01 -2.069122972262314730e-01
4.398980781811837204e+01 -2.104688009915128000e-01
4.550669774288108016e+01 -2.136992597089794332e-01
4.702358766764378117e+01 -2.165631533231094918e-01
4.854047759240648219e+01 -2.190284460430610425e-01
5.005736751716919031e+01 -2.210781536038775863e-01
5.157425744193189132e+01 -2.227163130974750271e-01
5.309114736669459944e+01 -2.239727877904093001e-01
5.460803729145730046e+01 -2.249063989161566024e-01
5.612492721621999436e+01 -2.256059789915403346e-01
5.764181714098270248e+01 -2.261890813328285565e-01
5.915870706574540350e+01 -2.267982495367981410e-01
6.067559699050810451e+01 -2.275949374375468848e-01
6.219248691527081263e+01 -2.287513611372272160e-01
6.370937684003351364e+01 -2.304407457174443286e-01
6.522626676479622176e+01 -2.328265856798797384e-01
6.674315668955891567e+01 -2.360516565913153009e-01
6.826004661432160958e+01 -2.402275845017049771e-01
6.977693653908431770e+01 -2.454257912700693878e-01
7.129382646384702582e+01 -2.516705837058740292e-01
7.281071638860973394e+01 -2.589350426299292796e-01
7.432760631337242785e+01 -2.671401995100255444e-01
7.584449623813513597e+01 -2.761577727670104232e-01
7.736138616289784409e+01 -2.858164868376098511e-01
7.887827608766053800e+01 -2.959117315893298183e-01
8.039516601242323190e+01 -3.062180568700689220e-01
8.191205593718594002e+01 -3.165037568460380979e-01
8.342894586194864814e+01 -3.265466007083832611e-01
8.494583578671134205e+01 -3.361496275424651903e-01
8.646272571147405017e+01 -3.451558573224216553e-01
8.797961563623674408e+01 -3.534607860047599415e-01
8.949650556099945220e+01 -3.610216337368569728e-01
9.101339548576216032e+01 -3.678624982349342765e-01
9.253028541052485423e+01 -3.740748210835441734e-01
9.404717533528756235e+01 -3.798128878209289794e-01
9.556406526005027047e+01 -3.852844329135687307e-01
9.708095518481296438e+01 -3.907367840398591197e-01
9.859784510957567250e+01 -3.964393303125079426e-01
1.001147350343383806e+02 -4.026634097113679922e-01
1.016316249591010887e+02 -4.096609572961048551e-01
1.031485148838637826e+02 -4.176434165491720307e-01
1.046654048086264908e+02 -4.267624756241510386e-01
1.061822947333891989e+02 -4.370941392415911841e-01
1.076991846581518928e+02 -4.486274840765864802e-01
1.092160745829146009e+02 -4.612591774311500803e-01
1.107329645076772806e+02 -4.747944804460237922e-01
1.122498544324399887e+02 -4.889550299422937285e-01
1.137667443572026968e+02 -5.033932249294009731e-01
1.152836342819654050e+02 -5.177125666815181049e-01
1.168005242067280989e+02 -5.314928487830425929e-01
1.183174141314908070e+02 -5.443186989132295928e-01
1.198343040562535151e+02 -5.558096677111317163e-01
1.213511939810162090e+02 -5.656498669649282496e-01
1.228680839057789171e+02 -5.736150975427104504e-01
1.243849738305416253e+02 -5.795954861451938500e-01
1.259018637553043192e+02 -5.836118686771556430e-01
1.274187536800670273e+02 -5.858245064447245021e-01
1.289356436048297212e+02 -5.865331796563376665e-01
1.304525335295924435e+02 -5.861682426725267625e-01
1.319694234543551374e+02 -5.852728123982702257e-01
1.334863133791178313e+02 -5.844768561660536044e-01
1.350032033038805253e+02 -5.844645078408037264e-01
1.365200932286432192e+02 -5.859364313414578973e-01
1.380369831534059415e+02 -5.895694340054804528e-01
1.395538730781686354e+02 -5.959757795218397769e-01
1.410707630029313577e+02 -6.056647415888924968e-01
1.425876529276940516e+02 -6.190088654140819546e-01
1.441045428524567455e+02 -6.362171662510252013e-01
1.456214327772194679e+02 -6.573171052215462939e-01
1.471383227019821618e+02 -6.821466660922802516e-01
1.486552126267448557e+02 -7.103572449215291851e-01
1.501721025515075780e+02 -7.414273969282962895e-01
1.516889924762702719e+02 -7.746868051807024314e-01
1.532058824010329658e+02 -8.093491886396446677e-01
1.547227723257956882e+02 -8.445522957725344337e-01
1.562396622505583821e+02 -8.794026725865990990e-01
1.577565521753210760e+02 -9.130225812326658863e-01
1.592734421000837699e+02 -9.445962983543452207e-01
1.607903320248464638e+02 -9.734130510263313552e-01
1.623072219496091861e+02 -9.989040505357995592e-01
1.638241118743718800e+02 -1.020671446827407181e+00
1.653410017991345740e+02 -1.038507524856945974e+00
1.668578917238972963e+02 -1.052403065095491863e+00
1.683747816486600186e+02 -1.062544454075610378e+00
1.698916715734226841e+02 -1.069299813431648483e+00
1.714085614981853780e+02 -1.073195072854856047e+00
1.729254514229481003e+02 -1.074881501586040233e+00
1.744423413477107943e+02 -1.075096697548018954e+00
1.759592312724734882e+02 -1.074621383724295498e+00
1.774761211972362105e+02 -1.074234558268837292e+00
1.789930111219989044e+02 -1.074669579218601179e+00
1.805099010467615983e+02 -1.076573638882539097e+00
1.820267909715243206e+02 -1.080472810052004906e+00
1.835436808962870145e+02 -1.086744448725536882e+00
1.850605708210497085e+02 -1.095598246367657014e+00
1.865774607458124308e+02 -1.107066674442894971e+00
1.880943506705751247e+02 -1.121004993311495168e+00
1.896112405953378186e+02 -1.137100444556880641e+00
1.911281305201005409e+02 -1.154889745514436017e+00
