# frame_idx  step  zref
0 2436220 26.53230972
1 2436230 26.53086667
2 2436240 26.52927917
3 2436250 26.52774722
4 2436260 26.52633472
5 2436270 26.52501528
6 2436280 26.52386528
7 2436290 26.52289583
8 2436300 26.52225694
9 2436310 26.52195694
10 2436320 26.52202083
11 2436330 26.52237500
12 2436340 26.52296250
13 2436350 26.52379583
14 2436360 26.52483333
15 2436370 26.52598750
16 2436380 26.52713333
17 2436390 26.52811528
18 2436400 26.52875833
19 2436410 26.52896667
20 2436420 26.52876667
21 2436430 26.52826389
22 2436440 26.52767639
23 2436450 26.52720000
24 2436460 26.52706250
25 2436470 26.52737500
26 2436480 26.52810000
27 2436490 26.52905278
28 2436500 26.52999722
29 2436510 26.53076944
30 2436520 26.53129028
31 2436530 26.53163056
32 2436540 26.53184861
33 2436550 26.53197222
34 2436560 26.53202222
35 2436570 26.53214861
36 2436580 26.53249861
37 2436590 26.53315278
38 2436600 26.53405417
39 2436610 26.53506944
40 2436620 26.53589167
41 2436630 26.53635972
42 2436640 26.53650000
43 2436650 26.53663750
44 2436660 26.53704722
45 2436670 26.53793194
46 2436680 26.53914722
47 2436690 26.54044167
48 2436700 26.54143889
49 2436710 26.54191667
50 2436720 26.54174722
51 2436730 26.54103472
52 2436740 26.54001667
53 2436750 26.53895972
54 2436760 26.53807222
55 2436770 26.53754444
56 2436780 26.53744028
57 2436790 26.53765139
58 2436800 26.53791667
59 2436810 26.53795556
60 2436820 26.53755417
61 2436830 26.53674722
62 2436840 26.53573333
63 2436850 26.53476250
64 2436860 26.53403889
65 2436870 26.53361667
66 2436880 26.53343472
67 2436890 26.53304444
68 2436900 26.53200278
69 2436910 26.52990000
70 2436920 26.52669861
71 2436930 26.52261389
72 2436940 26.51822222
73 2436950 26.51427639
74 2436960 26.51150694
75 2436970 26.51042778
76 2436980 26.51127222
77 2436990 26.51389722
78 2437000 26.51772361
79 2437010 26.52178056
80 2437020 26.52516667
81 2437030 26.52708611
82 2437040 26.52717639
83 2437050 26.52553889
84 2437060 26.52280278
85 2437070 26.51990000
86 2437080 26.51775139
87 2437090 26.51706667
88 2437100 26.51818056
89 2437110 26.52096389
90 2437120 26.52487083
91 2437130 26.52909861
92 2437140 26.53291389
93 2437150 26.53571806
94 2437160 26.53720694
95 2437170 26.53736389
96 2437180 26.53650417
97 2437190 26.53509722
98 2437200 26.53360000
99 2437210 26.53230694
100 2437220 26.53135000
101 2437230 26.53077222
102 2437240 26.53048889
103 2437250 26.53052361
104 2437260 26.53082639
105 2437270 26.53136528
106 2437280 26.53204722
107 2437290 26.53288194
108 2437300 26.53389028
109 2437310 26.53495694
110 2437320 26.53578333
111 2437330 26.53600833
112 2437340 26.53543056
113 2437350 26.53411250
114 2437360 26.53227778
115 2437370 26.53016806
116 2437380 26.52788611
117 2437390 26.52548889
118 2437400 26.52289167
119 2437410 26.52013889
120 2437420 26.51727778
121 2437430 26.51445139
122 2437440 26.51194722
123 2437450 26.51015417
124 2437460 26.50941250
125 2437470 26.50986389
126 2437480 26.51138056
127 2437490 26.51354167
128 2437500 26.51586111
129 2437510 26.51785000
130 2437520 26.51916111
131 2437530 26.51971806
132 2437540 26.51970972
133 2437550 26.51941944
134 2437560 26.51908056
135 2437570 26.51892222
136 2437580 26.51903611
137 2437590 26.51934722
138 2437600 26.51967639
139 2437610 26.51987361
140 2437620 26.51987500
141 2437630 26.51971667
142 2437640 26.51959444
143 2437650 26.51975000
144 2437660 26.52048889
145 2437670 26.52203333
146 2437680 26.52437500
147 2437690 26.52722639
148 2437700 26.53006250
149 2437710 26.53229306
150 2437720 26.53343056
151 2437730 26.53317222
152 2437740 26.53166111
153 2437750 26.52920139
154 2437760 26.52637222
155 2437770 26.52383056
156 2437780 26.52222361
157 2437790 26.52190417
158 2437800 26.52292500
159 2437810 26.52509444
160 2437820 26.52790278
161 2437830 26.53071806
162 2437840 26.53287361
163 2437850 26.53380833
164 2437860 26.53318333
165 2437870 26.53106667
166 2437880 26.52781528
167 2437890 26.52400139
168 2437900 26.52029306
169 2437910 26.51725417
170 2437920 26.51528611
171 2437930 26.51435278
172 2437940 26.51403056
173 2437950 26.51382500
174 2437960 26.51338889
175 2437970 26.51264167
176 2437980 26.51165833
177 2437990 26.51068889
178 2438000 26.51002639
179 2438010 26.50998611
180 2438020 26.51079167
181 2438030 26.51245417
182 2438040 26.51485000
183 2438050 26.51760556
184 2438060 26.52031111
185 2438070 26.52255417
186 2438080 26.52414028
187 2438090 26.52499861
188 2438100 26.52523333
189 2438110 26.52515000
190 2438120 26.52507917
191 2438130 26.52535278
192 2438140 26.52612917
193 2438150 26.52752083
194 2438160 26.52954306
195 2438170 26.53215139
196 2438180 26.53513472
197 2438190 26.53805833
198 2438200 26.54040417
199 2438210 26.54164583
200 2438220 26.54147500
201 2438230 26.53991528
202 2438240 26.53728333
203 2438250 26.53415694
204 2438260 26.53111944
205 2438270 26.52866528
206 2438280 26.52702083
207 2438290 26.52626944
208 2438300 26.52619444
209 2438310 26.52660417
210 2438320 26.52723056
211 2438330 26.52765694
212 2438340 26.52750556
213 2438350 26.52651944
214 2438360 26.52472639
215 2438370 26.52231250
216 2438380 26.51967361
217 2438390 26.51727083
218 2438400 26.51556806
219 2438410 26.51481528
220 2438420 26.51502083
221 2438430 26.51594167
222 2438440 26.51724167
223 2438450 26.51857361
224 2438460 26.51973056
225 2438470 26.52068889
226 2438480 26.52158611
227 2438490 26.52264028
228 2438500 26.52400833
229 2438510 26.52575833
230 2438520 26.52783611
231 2438530 26.53005139
232 2438540 26.53217639
233 2438550 26.53393750
234 2438560 26.53510139
235 2438570 26.53545694
236 2438580 26.53489028
237 2438590 26.53357083
238 2438600 26.53183750
239 2438610 26.53019028
240 2438620 26.52907639
241 2438630 26.52881944
242 2438640 26.52942083
243 2438650 26.53061389
244 2438660 26.53200417
245 2438670 26.53801690
246 2438680 26.53831549
247 2438690 26.53735070
248 2438700 26.53523239
249 2438710 26.53572286
250 2438720 26.53246143
251 2438730 26.52597324
252 2438740 26.52317324
253 2438750 26.51695417
254 2438760 26.51600972
255 2438770 26.51580278
256 2438780 26.51605278
257 2438790 26.51629722
258 2438800 26.51606389
259 2438810 26.51502222
260 2438820 26.51308611
261 2438830 26.51044722
262 2438840 26.50756111
263 2438850 26.50491806
264 2438860 26.50295139
265 2438870 26.50190556
266 2438880 26.50184583
267 2438890 26.50273194
268 2438900 26.50438611
269 2438910 26.50650833
270 2438920 26.50880833
271 2438930 26.51111250
272 2438940 26.51337778
273 2438950 26.51562083
274 2438960 26.51781667
275 2438970 26.51990000
276 2438980 26.52189444
277 2438990 26.52382222
278 2439000 26.52578056
279 2439010 26.52778194
280 2439020 26.52981806
281 2439030 26.53178056
282 2439040 26.53357778
283 2439050 26.53518611
284 2439060 26.53673194
285 2439070 26.53850278
286 2439080 26.54070833
287 2439090 26.54341806
288 2439100 26.54649722
289 2439110 26.54945139
290 2439120 26.55161667
291 2439130 26.55229028
292 2439140 26.55113889
293 2439150 26.54817639
294 2439160 26.54392917
295 2439170 26.53938750
296 2439180 26.53562083
297 2439190 26.53363750
298 2439200 26.53384722
299 2439210 26.53602500
300 2439220 26.53938472
301 2439230 26.54281944
302 2439240 26.54536806
303 2439250 26.54627083
304 2439260 26.54529722
305 2439270 26.54275278
306 2439280 26.53931111
307 2439290 26.53581806
308 2439300 26.53289028
309 2439310 26.53083194
310 2439320 26.52954583
311 2439330 26.52872917
312 2439340 26.52805694
313 2439350 26.52730694
314 2439360 26.52648611
315 2439370 26.52564861
316 2439380 26.52493472
317 2439390 26.52452222
318 2439400 26.52463333
319 2439410 26.52537917
320 2439420 26.52666250
321 2439430 26.52813056
322 2439440 26.52931667
323 2439450 26.52983333
324 2439460 26.52947361
325 2439470 26.52832500
326 2439480 26.52660000
327 2439490 26.52467639
328 2439500 26.52281111
329 2439510 26.52131389
330 2439520 26.52038056
331 2439530 26.52016111
332 2439540 26.52068333
333 2439550 26.52190417
334 2439560 26.52361528
335 2439570 26.52554583
336 2439580 26.52747222
337 2439590 26.52921111
338 2439600 26.53063889
339 2439610 26.53156250
340 2439620 26.53194722
341 2439630 26.53191111
342 2439640 26.53162222
343 2439650 26.53126250
344 2439660 26.53091389
345 2439670 26.53058750
346 2439680 26.53018056
347 2439690 26.52958333
348 2439700 26.52872917
349 2439710 26.52756806
350 2439720 26.52610278
351 2439730 26.52445278
352 2439740 26.52290417
353 2439750 26.52174028
354 2439760 26.52120972
355 2439770 26.52139444
356 2439780 26.52221389
357 2439790 26.52343889
358 2439800 26.52484167
359 2439810 26.52612361
360 2439820 26.52688889
361 2439830 26.52688333
362 2439840 26.52603056
363 2439850 26.52450417
364 2439860 26.52266944
365 2439870 26.52099306
366 2439880 26.51986667
367 2439890 26.51955833
368 2439900 26.52019583
369 2439910 26.52167639
370 2439920 26.52375972
371 2439930 26.52618333
372 2439940 26.52870139
373 2439950 26.53114722
374 2439960 26.53334861
375 2439970 26.53504167
376 2439980 26.53593472
377 2439990 26.53589583
378 2440000 26.53492500
379 2440010 26.53320278
380 2440020 26.53115000
381 2440030 26.52919306
382 2440040 26.52758750
383 2440050 26.52650694
384 2440060 26.52608611
385 2440070 26.52649306
386 2440080 26.52777222
387 2440090 26.52984444
388 2440100 26.53239861
389 2440110 26.53497083
390 2440120 26.53695556
391 2440130 26.53780000
392 2440140 26.53721250
393 2440150 26.53532083
394 2440160 26.53268472
395 2440170 26.53010556
396 2440180 26.52823611
397 2440190 26.52759583
398 2440200 26.52830417
399 2440210 26.53019583
400 2440220 26.53277222
401 2440230 26.53538194
402 2440240 26.53737917
403 2440250 26.53824028
404 2440260 26.53788889
405 2440270 26.53658333
406 2440280 26.53490417
407 2440290 26.53331389
408 2440300 26.53216528
409 2440310 26.53149028
410 2440320 26.53098750
411 2440330 26.53024167
412 2440340 26.52883333
413 2440350 26.52665833
414 2440360 26.52404861
415 2440370 26.52152083
416 2440380 26.51974722
417 2440390 26.51915556
418 2440400 26.51979028
419 2440410 26.52128194
420 2440420 26.52298056
421 2440430 26.52421111
422 2440440 26.52447778
423 2440450 26.52365972
424 2440460 26.52194028
425 2440470 26.51975556
426 2440480 26.51765417
427 2440490 26.51611389
428 2440500 26.51556389
429 2440510 26.51622361
430 2440520 26.51801528
431 2440530 26.52063611
432 2440540 26.52357500
433 2440550 26.52623889
434 2440560 26.52818750
435 2440570 26.52930694
436 2440580 26.52969167
437 2440590 26.52948611
438 2440600 26.52889861
439 2440610 26.52806806
440 2440620 26.52715139
441 2440630 26.52629722
442 2440640 26.52566528
443 2440650 26.52534861
444 2440660 26.52550000
445 2440670 26.52627778
446 2440680 26.52774306
447 2440690 26.52984722
448 2440700 26.53247778
449 2440710 26.53530694
450 2440720 26.53795833
451 2440730 26.54005417
452 2440740 26.54138611
453 2440750 26.54182917
454 2440760 26.54133611
455 2440770 26.54001667
456 2440780 26.53815139
457 2440790 26.53610694
458 2440800 26.53425000
459 2440810 26.53301250
460 2440820 26.53271528
461 2440830 26.53339167
462 2440840 26.53465833
463 2440850 26.53591806
464 2440860 26.53651111
465 2440870 26.53608056
466 2440880 26.53461944
467 2440890 26.53244861
468 2440900 26.53016667
469 2440910 26.52823472
470 2440920 26.52691111
471 2440930 26.52628750
472 2440940 26.52620694
473 2440950 26.52636250
474 2440960 26.52642083
475 2440970 26.52613611
476 2440980 26.52539167
477 2440990 26.52422222
478 2441000 26.52266389
479 2441010 26.52090278
480 2441020 26.51921528
481 2441030 26.51781111
482 2441040 26.51689444
483 2441050 26.51655556
484 2441060 26.51676389
485 2441070 26.51740556
486 2441080 26.51829861
487 2441090 26.51921667
488 2441100 26.51997778
489 2441110 26.52043333
490 2441120 26.52050972
491 2441130 26.52025278
492 2441140 26.51989167
493 2441150 26.51976806
494 2441160 26.52022778
495 2441170 26.52145972
496 2441180 26.52343611
497 2441190 26.52592361
498 2441200 26.52861389
499 2441210 26.53120000
500 2441220 26.53342222
501 2441230 26.53522361
502 2441240 26.53680833
503 2441250 26.53849167
504 2441260 26.54046111
505 2441270 26.54271667
506 2441280 26.54504028
507 2441290 26.54700278
508 2441300 26.54817639
509 2441310 26.54826806
510 2441320 26.54726806
511 2441330 26.54554028
512 2441340 26.54366528
513 2441350 26.54238194
514 2441360 26.54222917
515 2441370 26.54347778
516 2441380 26.54598889
517 2441390 26.54928333
518 2441400 26.55271389
519 2441410 26.55553333
520 2441420 26.55701111
521 2441430 26.55659722
522 2441440 26.55415972
523 2441450 26.54990972
524 2441460 26.54450000
525 2441470 26.53876528
526 2441480 26.53359306
527 2441490 26.53479577
528 2441500 26.53267746
529 2441510 26.53182394
530 2441520 26.53187606
531 2441530 26.53238592
532 2441540 26.53289859
533 2441550 26.53313239
534 2441560 26.52860139
535 2441570 26.52837222
536 2441580 26.52772778
537 2441590 26.52681389
538 2441600 26.52577361
539 2441610 26.52462778
540 2441620 26.52340000
541 2441630 26.52206944
542 2441640 26.52068889
543 2441650 26.51937778
544 2441660 26.51824306
545 2441670 26.51730972
546 2441680 26.51657083
547 2441690 26.51607083
548 2441700 26.51589167
549 2441710 26.51614306
550 2441720 26.51691389
551 2441730 26.51819583
552 2441740 26.51982083
553 2441750 26.52149583
554 2441760 26.52289583
555 2441770 26.52375972
556 2441780 26.52401250
557 2441790 26.52377778
558 2441800 26.52336806
559 2441810 26.52316250
560 2441820 26.52347778
561 2441830 26.52446389
562 2441840 26.52604306
563 2441850 26.52800972
564 2441860 26.53005139
565 2441870 26.53181944
566 2441880 26.53306667
