# frequency_cm^-1 signal
0.000000000000000000e+00 -5.769985175194259241e+00
1.516889924762702568e+00 -5.508963009815865952e+00
3.033779849525405137e+00 -4.748452323679631881e+00
4.550669774288108371e+00 -3.554208837761796858e+00
6.067559699050810273e+00 -2.029613216312715185e+00
7.584449623813513064e+00 -3.069000024227859225e-01
9.101339548576216743e+00 1.464074225670368268e+00
1.061822947333891776e+01 3.128581169390880046e+00
1.213511939810162055e+01 4.540218719270200154e+00
1.365200932286432511e+01 5.573446203617173467e+00
1.516889924762702613e+01 6.134399913022806849e+00
1.668578917238972892e+01 6.169073310239230779e+00
1.820267909715243349e+01 5.668164474090680471e+00
1.971956902191513450e+01 4.668170143821997797e+00
2.123645894667783551e+01 3.248618345109441474e+00
2.275334887144054008e+01 1.525654099870255243e+00
2.427023879620324109e+01 -3.575016158992995186e-01
2.578712872096594566e+01 -2.242436126743967417e+00
2.730401864572865023e+01 -3.968789883728839563e+00
2.882090857049135124e+01 -5.387761114474667323e+00
3.033779849525405226e+01 -6.374742502253332610e+00
3.185468842001675682e+01 -6.840028667388790673e+00
3.337157834477945784e+01 -6.736688229874660649e+00
3.488846826954215885e+01 -6.064925167600041966e+00
3.640535819430486697e+01 -4.872542224870259453e+00
3.792224811906756798e+01 -3.251440663258832409e+00
3.943913804383026900e+01 -1.330419223194443834e+00
4.095602796859297001e+01 7.351563559000697801e-01
4.247291789335567103e+01 2.775979106379665939e+00
4.398980781811837204e+01 4.622692528485820240e+00
4.550669774288108016e+01 6.119907644149360948e+00
4.702358766764378117e+01 7.139187219979415744e+00
4.854047759240648219e+01 7.589916830542923876e+00
5.005736751716919031e+01 7.427149819205645542e+00
5.157425744193189132e+01 6.655756779723694727e+00
5.309114736669459944e+01 5.330510256764077859e+00
5.460803729145730046e+01 3.552067544796089216e+00
5.612492721621999436e+01 1.459151603011349607e+00
5.764181714098270248e+01 -7.824554789429641888e-01
5.915870706574540350e+01 -2.993226271360248880e+00
6.067559699050810451e+01 -4.994433821576651056e+00
6.219248691527081263e+01 -6.622746317641031055e+00
6.370937684003351364e+01 -7.743675853400262099e+00
6.522626676479622176e+01 -8.262772815931958448e+00
6.674315668955891567e+01 -8.133634953257574907e+00
6.826004661432160958e+01 -7.362054925999293786e+00
6.977693653908431770e+01 -6.005941656019783359e+00
7.129382646384702582e+01 -4.170993875327801526e+00
7.281071638860973394e+01 -2.002451067845421040e+00
7.432760631337242785e+01 3.264308289153564635e-01
7.584449623813513597e+01 2.628260470888477141e+00
