species,raw_hbond_class,grouped_hbond_class,count,total_oxygen_samples,fraction
OH-,none,other,471856,1367400,0.3450753254
OH-,DA,DA,165712,1367400,0.1211876554
OH-,D,other,130748,1367400,0.09561796109
OH-,A,A,130105,1367400,0.09514772561
OH-,AA,AA,111989,1367400,0.08189922481
OH-,DAA,DAA,109600,1367400,0.0801521135
OH-,AAA,AAA,76787,1367400,0.05615547755
OH-,DAAA,DAAA,62698,1367400,0.04585198186
OH-,AAAA,other,46882,1367400,0.03428550534
OH-,DAAAA,other,38976,1367400,0.02850372971
OH-,AAAAA,other,11767,1367400,0.008605382478
OH-,DAAAAA,other,7123,1367400,0.005209156063
OH-,AAAAAA,other,1563,1367400,0.001143045195
OH-,DAAAAAA,other,1398,1367400,0.001022378236
OH-,DAAAAAAA,other,116,1367400,8.483252889e-05
OH-,AAAAAAA,other,76,1367400,5.557993272e-05
OH-,DAAAAAAAA,other,4,1367400,2.925259617e-06
H2O,DA,DA,1888690,7731905,0.2442722718
H2O,DDA,DDA,1188627,7731905,0.1537301609
H2O,D,other,1039475,7731905,0.1344397015
H2O,DAA,DAA,818874,7731905,0.1059084404
H2O,A,A,721005,7731905,0.0932506284
H2O,DD,other,640027,7731905,0.08277740091
H2O,DDAA,DDAA,605260,7731905,0.07828083765
H2O,none,other,454206,7731905,0.05874438447
H2O,AA,AA,249690,7731905,0.03229346455
H2O,DDAAA,other,55530,7731905,0.007181929938
H2O,DAAA,other,55022,7731905,0.007116228148
H2O,AAA,other,12554,7731905,0.001623661957
H2O,DDAAAA,other,1505,7731905,0.0001946480201
H2O,DAAAA,other,1185,7731905,0.0001532610657
H2O,AAAA,other,184,7731905,2.379749881e-05
H2O,DDAAAAA,other,40,7731905,5.173369305e-06
H2O,DAAAAA,other,27,7731905,3.492024281e-06
H2O,DAAAAAA,other,2,7731905,2.586684653e-07
H2O,DDAAAAAA,other,2,7731905,2.586684653e-07
